City,toStation,Area,Age,Price
Hachioji,23,90,21,1200
NerimaKU,11,90,18,4700
ChuoKU,8,105,27,12000
Hachioji,8,95,16,3400
Hachioji,14,90,17,2600
Hachioji,4,95,13,4900
Hachioji,18,95,26,1300
ChuoKU,1,105,15,13000
Hachioji,21,85,10,3500
NerimaKU,5,105,22,4300
NerimaKU,9,85,46,4100
ChuoKU,9,95,21,12000
NerimaKU,5,105,30,5300
Hachioji,16,100,17,3100
Hachioji,10,95,23,2500
Hachioji,16,90,18,2900
NerimaKU,12,95,15,7100
Hachioji,16,90,18,2800
NerimaKU,13,85,19,3400
Hachioji,15,90,25,2100
Hachioji,13,95,11,3300
NerimaKU,6,90,34,4900
Hachioji,2,110,22,2400
Hachioji,6,110,10,4600
Hachioji,14,90,24,2700
ChuoKU,5,85,20,8200
Hachioji,12,100,14,3400
Hachioji,20,135,25,2600
ChuoKU,9,85,5,11000
ChuoKU,6,115,12,13000
Hachioji,11,120,39,1400
Hachioji,11,90,31,670
Hachioji,15,90,17,2900
Hachioji,19,90,36,1600
ChuoKU,2,95,16,9900
NerimaKU,14,95,32,4700
Hachioji,13,85,20,2900
Hachioji,12,85,17,2900
NerimaKU,13,85,40,2900
Hachioji,8,85,30,2800
NerimaKU,19,85,47,2800
NerimaKU,45,85,9,2800
Hachioji,16,85,17,2700
Hachioji,12,85,24,2700
Hachioji,13,85,21,2600
Hachioji,15,85,23,2400
Hachioji,9,85,21,2300
Hachioji,15,85,17,2300
Hachioji,11,85,12,2300
Hachioji,4,85,21,2100
Hachioji,4,85,21,2100
Hachioji,15,85,12,2100
NerimaKU,19,85,38,1800
Hachioji,13,85,29,1600
Hachioji,20,85,25,1400
ChuoKU,4,80,5,12000
ChuoKU,0,80,5,11000
ChuoKU,10,80,5,10000
ChuoKU,6,80,4,9300
ChuoKU,6,80,4,9100
ChuoKU,6,80,4,9100
ChuoKU,11,80,7,9000
ChuoKU,4,80,4,9000
ChuoKU,6,80,4,9000
ChuoKU,3,80,16,8700
ChuoKU,8,80,27,8400
ChuoKU,11,80,7,8300
ChuoKU,12,80,4,8300
Hachioji,2,80,10,8000
ChuoKU,0,80,17,7900
ChuoKU,0,80,17,7700
ChuoKU,5,80,22,7300
ChuoKU,6,80,4,7200
ChuoKU,4,80,15,7000
ChuoKU,5,80,30,7000
Hachioji,2,80,10,6000
NerimaKU,11,80,9,5900
NerimaKU,15,80,5,5800
NerimaKU,9,80,5,5600
ChuoKU,9,80,20,5500
NerimaKU,3,80,21,5500
NerimaKU,8,80,9,5500
NerimaKU,4,80,30,5400
NerimaKU,4,80,30,5300
NerimaKU,5,80,19,5200
NerimaKU,12,80,15,5100
NerimaKU,2,80,29,5100
ChuoKU,9,80,20,5000
NerimaKU,11,80,31,5000
NerimaKU,5,80,16,5000
NerimaKU,2,80,29,5000
NerimaKU,10,80,19,4900
NerimaKU,7,80,16,4900
NerimaKU,15,80,25,4800
ChuoKU,7,80,38,4700
NerimaKU,14,80,18,4700
NerimaKU,9,80,17,4600
NerimaKU,15,80,15,4300
NerimaKU,6,80,35,4200
NerimaKU,3,80,33,4200
NerimaKU,5,80,17,4200
NerimaKU,4,80,31,4100
NerimaKU,2,80,20,4100
NerimaKU,12,80,32,4000
NerimaKU,18,80,18,4000
NerimaKU,8,80,46,3800
NerimaKU,20,80,19,3800
Hachioji,9,80,17,3700
Hachioji,4,80,16,3700
Hachioji,2,80,10,3700
NerimaKU,16,80,18,3600
Hachioji,8,80,18,3500
NerimaKU,3,80,30,3500
NerimaKU,13,80,29,3500
Hachioji,9,80,18,3300
NerimaKU,14,80,22,3200
NerimaKU,20,80,22,3200
Hachioji,15,80,16,3000
Hachioji,7,80,17,2800
Hachioji,9,80,2,2800
Hachioji,6,80,21,2700
Hachioji,6,80,16,2700
Hachioji,14,80,12,2700
Hachioji,12,80,11,2700
NerimaKU,12,80,32,2700
Hachioji,20,80,19,2500
Hachioji,4,80,18,2500
Hachioji,19,80,17,2500
Hachioji,15,80,16,2500
Hachioji,2,80,38,2400
Hachioji,13,80,33,2400
Hachioji,6,80,21,2400
Hachioji,10,80,28,2400
Hachioji,14,80,26,2400
Hachioji,25,80,25,2400
Hachioji,1,80,38,2300
Hachioji,11,80,20,2300
Hachioji,10,80,17,2300
Hachioji,10,80,15,2300
Hachioji,3,80,26,2300
Hachioji,3,80,38,2200
Hachioji,14,80,21,2200
Hachioji,14,80,21,2000
Hachioji,19,80,20,2000
Hachioji,13,80,18,2000
Hachioji,9,80,29,2000
Hachioji,15,80,25,1900
Hachioji,15,80,25,1900
Hachioji,14,80,21,1800
Hachioji,16,80,24,1800
Hachioji,15,80,23,1800
Hachioji,16,80,38,1700
Hachioji,8,80,35,1700
Hachioji,15,80,12,1700
Hachioji,6,80,19,1600
Hachioji,14,80,26,1600
Hachioji,22,80,25,1500
NerimaKU,8,80,46,1500
Hachioji,3,80,39,1400
Hachioji,4,80,39,1200
Hachioji,13,80,31,1200
Hachioji,6,80,39,1100
Hachioji,19,80,29,1100
Hachioji,13,80,31,900
Hachioji,14,80,33,800
ChuoKU,1,75,15,8100
ChuoKU,4,75,9,8000
ChuoKU,2,75,6,7500
ChuoKU,9,75,20,7300
ChuoKU,6,75,12,7200
NerimaKU,7,75,5,7200
ChuoKU,6,75,12,7100
ChuoKU,11,75,5,7100
ChuoKU,11,75,5,7000
ChuoKU,11,75,5,7000
NerimaKU,1,75,18,7000
ChuoKU,11,75,5,6900
NerimaKU,15,75,4,6700
NerimaKU,1,75,9,6600
NerimaKU,13,75,4,6600
ChuoKU,1,75,16,6200
ChuoKU,13,75,11,6100
NerimaKU,4,75,9,6000
ChuoKU,7,75,29,5700
ChuoKU,9,75,20,5600
ChuoKU,5,75,17,5600
NerimaKU,1,75,17,5600
NerimaKU,3,75,19,5500
ChuoKU,9,75,20,5300
NerimaKU,8,75,8,5300
NerimaKU,8,75,18,5200
NerimaKU,5,75,16,5200
NerimaKU,5,75,16,5200
NerimaKU,5,75,15,5200
NerimaKU,9,75,11,5200
ChuoKU,3,75,18,5100
NerimaKU,5,75,19,5100
NerimaKU,8,75,22,5000
NerimaKU,8,75,20,4900
NerimaKU,12,75,17,4900
NerimaKU,12,75,17,4900
NerimaKU,9,75,13,4800
NerimaKU,2,75,16,4700
NerimaKU,10,75,15,4600
NerimaKU,7,75,37,4500
NerimaKU,13,75,15,4500
NerimaKU,12,75,25,4500
NerimaKU,4,75,34,4300
NerimaKU,12,75,15,4300
NerimaKU,4,75,14,4300
NerimaKU,11,75,13,4300
NerimaKU,5,75,19,4200
Hachioji,8,75,14,4100
NerimaKU,3,75,35,4100
NerimaKU,15,75,22,4100
NerimaKU,15,75,22,4100
Hachioji,12,75,5,3900
NerimaKU,5,75,35,3900
Hachioji,3,75,4,3800
Hachioji,15,75,2,3700
NerimaKU,14,75,17,3700
NerimaKU,13,75,24,3700
NerimaKU,5,75,16,3600
NerimaKU,3,75,30,3600
Hachioji,10,75,2,3500
NerimaKU,7,75,37,3500
NerimaKU,11,75,36,3500
Hachioji,15,75,6,3400
NerimaKU,15,75,40,3400
NerimaKU,3,75,35,3400
NerimaKU,13,75,20,3400
NerimaKU,19,75,47,3300
NerimaKU,5,75,35,3300
NerimaKU,4,75,34,3300
Hachioji,19,75,17,3200
Hachioji,7,75,14,3200
NerimaKU,1,75,46,3200
NerimaKU,3,75,35,3200
Hachioji,8,75,21,3100
Hachioji,6,75,6,3100
NerimaKU,13,75,37,3100
NerimaKU,13,75,20,3100
NerimaKU,1,75,48,3000
NerimaKU,7,75,37,3000
NerimaKU,14,75,19,3000
Hachioji,8,75,12,2900
Hachioji,21,75,10,2800
NerimaKU,10,75,30,2800
NerimaKU,45,75,15,2700
Hachioji,9,75,22,2600
Hachioji,8,75,13,2600
Hachioji,10,75,11,2600
Hachioji,19,75,35,2400
Hachioji,9,75,21,2400
Hachioji,3,75,17,2400
Hachioji,11,75,16,2400
Hachioji,8,75,24,2400
Hachioji,5,75,19,2300
Hachioji,8,75,17,2300
Hachioji,9,75,17,2300
Hachioji,11,75,25,2300
Hachioji,12,75,37,2200
Hachioji,16,75,17,2200
Hachioji,11,75,12,2100
NerimaKU,19,75,47,2100
Hachioji,7,75,35,2000
Hachioji,11,75,35,2000
Hachioji,8,75,22,2000
Hachioji,2,75,20,2000
Hachioji,20,75,17,2000
Hachioji,6,75,19,1800
Hachioji,6,75,29,1800
Hachioji,7,75,29,1800
Hachioji,45,75,22,1600
Hachioji,8,75,37,1500
Hachioji,29,75,28,1500
Hachioji,75,75,27,1400
Hachioji,45,75,28,840
ChuoKU,9,70,5,11000
ChuoKU,8,70,5,10000
ChuoKU,9,70,5,10000
ChuoKU,9,70,5,10000
ChuoKU,9,70,5,9900
ChuoKU,2,70,1,9600
ChuoKU,2,70,1,9500
ChuoKU,8,70,3,9400
ChuoKU,2,70,1,9400
ChuoKU,3,70,1,9400
ChuoKU,3,70,1,9300
ChuoKU,2,70,1,9100
ChuoKU,3,70,7,9000
ChuoKU,9,70,21,8800
ChuoKU,9,70,5,8500
ChuoKU,9,70,5,8500
ChuoKU,9,70,5,8400
ChuoKU,9,70,5,8400
ChuoKU,2,70,1,8400
ChuoKU,9,70,21,8300
ChuoKU,9,70,5,8300
ChuoKU,8,70,5,8200
ChuoKU,6,70,12,8000
ChuoKU,4,70,7,8000
ChuoKU,8,70,5,8000
ChuoKU,9,70,5,8000
ChuoKU,9,70,5,8000
ChuoKU,9,70,5,8000
ChuoKU,9,70,5,8000
ChuoKU,5,70,5,7900
ChuoKU,9,70,5,7900
ChuoKU,9,70,5,7900
ChuoKU,9,70,5,7900
ChuoKU,10,70,5,7900
ChuoKU,9,70,5,7800
ChuoKU,11,70,7,7700
ChuoKU,8,70,5,7700
ChuoKU,8,70,5,7700
ChuoKU,11,70,7,7600
ChuoKU,5,70,5,7600
ChuoKU,6,70,12,7500
ChuoKU,9,70,5,7400
ChuoKU,3,70,5,7300
ChuoKU,9,70,5,7300
NerimaKU,2,70,8,7300
ChuoKU,2,70,13,7200
ChuoKU,8,70,5,7200
ChuoKU,8,70,5,7200
ChuoKU,9,70,5,7200
ChuoKU,13,70,4,7200
ChuoKU,3,70,2,7200
ChuoKU,1,70,18,7100
ChuoKU,11,70,5,7100
ChuoKU,2,70,1,7100
ChuoKU,12,70,1,7100
NerimaKU,2,70,8,7100
ChuoKU,0,70,17,7000
ChuoKU,6,70,12,7000
ChuoKU,12,70,7,7000
ChuoKU,2,70,6,7000
ChuoKU,10,70,5,7000
ChuoKU,11,70,5,7000
ChuoKU,2,70,1,7000
ChuoKU,2,70,1,7000
ChuoKU,2,70,1,7000
ChuoKU,8,70,27,7000
ChuoKU,8,70,27,7000
ChuoKU,9,70,27,6900
ChuoKU,3,70,18,6800
ChuoKU,6,70,12,6800
ChuoKU,5,70,21,6700
ChuoKU,2,70,13,6700
ChuoKU,3,70,9,6700
ChuoKU,4,70,16,6600
ChuoKU,1,70,18,6500
ChuoKU,8,70,19,6400
ChuoKU,7,70,15,6400
ChuoKU,13,70,11,6400
NerimaKU,9,70,11,6400
ChuoKU,2,70,18,6300
ChuoKU,1,70,17,6300
ChuoKU,13,70,11,6300
ChuoKU,12,70,1,6300
Hachioji,1,70,2,6300
ChuoKU,5,70,21,6200
ChuoKU,2,70,19,6200
ChuoKU,6,70,12,6200
NerimaKU,0,70,8,6200
ChuoKU,6,70,22,6100
ChuoKU,6,70,15,6100
ChuoKU,2,70,36,6000
ChuoKU,3,70,22,6000
ChuoKU,9,70,22,6000
NerimaKU,13,70,18,6000
NerimaKU,1,70,10,5900
ChuoKU,9,70,22,5800
ChuoKU,13,70,11,5800
NerimaKU,2,70,4,5800
ChuoKU,2,70,36,5700
ChuoKU,2,70,36,5600
ChuoKU,9,70,20,5500
NerimaKU,6,70,14,5500
NerimaKU,4,70,10,5500
ChuoKU,9,70,22,5400
ChuoKU,4,70,20,5400
NerimaKU,10,70,11,5400
NerimaKU,10,70,10,5400
NerimaKU,10,70,9,5400
ChuoKU,0,70,20,5300
NerimaKU,3,70,21,5300
NerimaKU,9,70,3,5300
NerimaKU,12,70,16,5200
NerimaKU,13,70,9,5200
ChuoKU,4,70,17,5100
NerimaKU,6,70,16,5000
NerimaKU,13,70,16,5000
NerimaKU,8,70,7,5000
NerimaKU,13,70,5,5000
NerimaKU,4,70,4,5000
NerimaKU,13,70,9,4900
NerimaKU,8,70,5,4900
NerimaKU,6,70,15,4800
NerimaKU,10,70,14,4800
NerimaKU,9,70,12,4800
NerimaKU,12,70,11,4800
NerimaKU,14,70,5,4800
NerimaKU,2,70,31,4700
NerimaKU,14,70,14,4700
NerimaKU,12,70,11,4700
NerimaKU,10,70,8,4700
NerimaKU,12,70,8,4700
ChuoKU,11,70,7,4600
NerimaKU,14,70,5,4600
NerimaKU,7,70,18,4500
NerimaKU,13,70,15,4500
NerimaKU,4,70,10,4500
NerimaKU,13,70,7,4500
NerimaKU,6,70,24,4500
NerimaKU,3,70,20,4400
NerimaKU,12,70,19,4400
NerimaKU,3,70,18,4400
NerimaKU,11,70,16,4400
NerimaKU,12,70,14,4400
NerimaKU,12,70,25,4400
NerimaKU,13,70,19,4300
NerimaKU,7,70,18,4300
NerimaKU,3,70,16,4300
NerimaKU,13,70,15,4300
NerimaKU,13,70,14,4300
NerimaKU,7,70,11,4300
NerimaKU,10,70,9,4300
NerimaKU,12,70,6,4300
NerimaKU,9,70,19,4200
NerimaKU,4,70,17,4200
NerimaKU,8,70,15,4200
NerimaKU,13,70,15,4200
NerimaKU,8,70,8,4200
NerimaKU,3,70,30,4200
NerimaKU,6,70,24,4200
NerimaKU,12,70,21,4100
NerimaKU,20,70,21,4100
NerimaKU,7,70,18,4100
NerimaKU,4,70,16,4100
NerimaKU,12,70,15,4100
NerimaKU,12,70,22,4000
NerimaKU,2,70,21,4000
NerimaKU,11,70,18,4000
NerimaKU,5,70,17,4000
NerimaKU,11,70,15,4000
NerimaKU,13,70,15,4000
NerimaKU,3,70,30,4000
Hachioji,11,70,5,3900
Hachioji,8,70,2,3900
NerimaKU,3,70,20,3900
NerimaKU,14,70,18,3900
NerimaKU,15,70,18,3900
NerimaKU,13,70,15,3900
NerimaKU,15,70,12,3900
NerimaKU,13,70,24,3900
Hachioji,10,70,6,3800
Hachioji,11,70,5,3800
Hachioji,11,70,5,3800
NerimaKU,9,70,37,3800
NerimaKU,6,70,36,3800
NerimaKU,13,70,20,3800
NerimaKU,10,70,16,3800
NerimaKU,12,70,16,3800
NerimaKU,12,70,26,3800
Hachioji,10,70,5,3700
Hachioji,10,70,5,3700
Hachioji,11,70,5,3700
Hachioji,12,70,5,3700
Hachioji,16,70,2,3700
NerimaKU,6,70,36,3700
NerimaKU,11,70,17,3700
NerimaKU,4,70,16,3700
NerimaKU,16,70,11,3700
NerimaKU,12,70,25,3700
NerimaKU,12,70,25,3700
Hachioji,6,70,19,3600
NerimaKU,16,70,22,3600
NerimaKU,15,70,21,3600
NerimaKU,12,70,16,3600
NerimaKU,8,70,14,3600
NerimaKU,12,70,24,3600
Hachioji,8,70,2,3500
NerimaKU,2,70,31,3500
NerimaKU,11,70,22,3500
NerimaKU,13,70,19,3500
NerimaKU,7,70,17,3500
NerimaKU,6,70,15,3500
NerimaKU,14,70,8,3500
NerimaKU,7,70,32,3400
NerimaKU,12,70,14,3400
NerimaKU,12,70,26,3400
Hachioji,11,70,10,3300
Hachioji,16,70,2,3300
NerimaKU,10,70,46,3300
NerimaKU,15,70,12,3300
Hachioji,23,70,10,3200
NerimaKU,8,70,35,3200
NerimaKU,11,70,17,3200
Hachioji,9,70,2,3100
Hachioji,15,70,2,3100
Hachioji,2,70,11,3000
Hachioji,21,70,10,3000
Hachioji,8,70,9,3000
Hachioji,21,70,26,3000
NerimaKU,10,70,46,3000
Hachioji,8,70,21,2900
Hachioji,8,70,7,2900
NerimaKU,8,70,35,2900
Hachioji,10,70,18,2800
Hachioji,14,70,13,2800
Hachioji,3,70,10,2800
Hachioji,14,70,27,2800
NerimaKU,11,70,37,2800
Hachioji,3,70,22,2700
Hachioji,16,70,14,2700
Hachioji,12,70,11,2700
NerimaKU,13,70,45,2700
NerimaKU,13,70,20,2700
Hachioji,9,70,22,2600
Hachioji,10,70,15,2600
Hachioji,8,70,13,2600
Hachioji,11,70,13,2600
Hachioji,4,70,11,2600
Hachioji,21,70,10,2600
Hachioji,2,70,38,2500
Hachioji,10,70,21,2500
Hachioji,6,70,19,2500
Hachioji,17,70,17,2500
Hachioji,4,70,11,2500
Hachioji,10,70,23,2500
Hachioji,6,70,19,2400
Hachioji,16,70,17,2400
Hachioji,19,70,17,2400
Hachioji,8,70,16,2400
Hachioji,6,70,14,2400
Hachioji,20,70,13,2400
Hachioji,9,70,12,2400
Hachioji,8,70,30,2400
Hachioji,7,70,25,2400
Hachioji,2,70,38,2300
Hachioji,6,70,21,2300
Hachioji,13,70,12,2300
Hachioji,11,70,25,2300
Hachioji,12,70,11,2200
Hachioji,18,70,11,2200
Hachioji,21,70,10,2200
Hachioji,9,70,30,2200
NerimaKU,9,70,37,2200
Hachioji,0,70,39,2100
Hachioji,9,70,22,2100
Hachioji,6,70,19,2100
Hachioji,13,70,17,2100
Hachioji,16,70,17,2100
Hachioji,16,70,11,2100
NerimaKU,13,70,40,2100
ChuoKU,2,70,36,2000
Hachioji,11,70,20,2000
Hachioji,11,70,18,2000
Hachioji,19,70,26,2000
Hachioji,15,70,24,2000
Hachioji,2,70,42,1900
Hachioji,9,70,12,1900
Hachioji,16,70,11,1900
Hachioji,15,70,26,1900
Hachioji,3,70,46,1800
Hachioji,3,70,33,1800
Hachioji,15,70,20,1800
Hachioji,6,70,19,1800
Hachioji,14,70,23,1800
NerimaKU,45,70,29,1800
Hachioji,5,70,20,1700
Hachioji,10,70,29,1700
Hachioji,1,70,40,1600
Hachioji,12,70,33,1600
Hachioji,20,70,26,1600
Hachioji,20,70,30,1500
Hachioji,75,70,17,1400
Hachioji,3,70,43,1300
Hachioji,11,70,33,1300
Hachioji,19,70,33,1300
Hachioji,28,70,29,1000
Hachioji,2,70,46,810
Hachioji,3,70,42,780
Hachioji,6,70,44,650
Hachioji,3,70,42,500
ChuoKU,0,65,5,11000
ChuoKU,2,65,1,9100
ChuoKU,0,65,5,8900
ChuoKU,2,65,1,8900
ChuoKU,2,65,1,8800
ChuoKU,2,65,1,8800
ChuoKU,4,65,18,8200
ChuoKU,0,65,10,8200
ChuoKU,3,65,6,8200
ChuoKU,2,65,1,8100
ChuoKU,11,65,5,7900
ChuoKU,5,65,16,7600
ChuoKU,3,65,7,7600
ChuoKU,3,65,20,7500
ChuoKU,3,65,7,7500
ChuoKU,5,65,5,7500
ChuoKU,6,65,8,7400
ChuoKU,2,65,6,7300
NerimaKU,2,65,4,7300
ChuoKU,6,65,4,7200
ChuoKU,1,65,15,7100
ChuoKU,1,65,15,7100
ChuoKU,4,65,9,7100
ChuoKU,4,65,6,6900
ChuoKU,7,65,5,6900
ChuoKU,10,65,5,6900
ChuoKU,11,65,5,6900
ChuoKU,6,65,4,6900
ChuoKU,9,65,21,6800
ChuoKU,4,65,7,6800
ChuoKU,5,65,5,6700
ChuoKU,2,65,6,6600
ChuoKU,11,65,5,6600
ChuoKU,3,65,7,6500
ChuoKU,1,65,18,6400
NerimaKU,9,65,11,6400
NerimaKU,2,65,9,6400
NerimaKU,3,65,4,6400
NerimaKU,1,65,9,6300
ChuoKU,1,65,3,6100
ChuoKU,2,65,21,6000
ChuoKU,3,65,21,6000
ChuoKU,2,65,17,6000
ChuoKU,1,65,18,5900
ChuoKU,5,65,20,5800
ChuoKU,8,65,19,5800
ChuoKU,3,65,18,5800
NerimaKU,4,65,10,5800
NerimaKU,8,65,8,5800
ChuoKU,4,65,18,5700
ChuoKU,6,65,12,5700
NerimaKU,5,65,4,5700
NerimaKU,7,65,4,5700
ChuoKU,8,65,19,5600
ChuoKU,4,65,18,5600
ChuoKU,4,65,20,5500
ChuoKU,8,65,13,5500
ChuoKU,8,65,13,5500
NerimaKU,5,65,17,5500
ChuoKU,11,65,7,5400
NerimaKU,10,65,8,5400
ChuoKU,8,65,13,5300
NerimaKU,9,65,6,5300
NerimaKU,0,65,24,5200
NerimaKU,10,65,8,5100
ChuoKU,4,65,17,5000
NerimaKU,12,65,11,5000
NerimaKU,1,65,9,5000
NerimaKU,6,65,8,5000
NerimaKU,5,65,34,4900
NerimaKU,3,65,11,4900
NerimaKU,12,65,11,4900
NerimaKU,11,65,9,4900
NerimaKU,9,65,6,4900
NerimaKU,8,65,7,4800
NerimaKU,7,65,4,4800
NerimaKU,9,65,18,4700
NerimaKU,12,65,11,4700
NerimaKU,12,65,8,4700
NerimaKU,8,65,13,4600
NerimaKU,6,65,12,4600
NerimaKU,3,65,10,4600
NerimaKU,9,65,7,4600
NerimaKU,9,65,7,4600
NerimaKU,4,65,21,4500
NerimaKU,9,65,19,4500
NerimaKU,12,65,17,4500
NerimaKU,13,65,2,4500
NerimaKU,2,65,24,4500
Hachioji,8,65,2,4400
NerimaKU,2,65,47,4300
NerimaKU,4,65,21,4300
NerimaKU,2,65,20,4300
NerimaKU,9,65,14,4300
NerimaKU,2,65,26,4300
NerimaKU,7,65,35,4200
NerimaKU,2,65,31,4200
NerimaKU,9,65,14,4200
NerimaKU,11,65,13,4200
NerimaKU,11,65,10,4200
NerimaKU,4,65,24,4200
NerimaKU,8,65,23,4200
NerimaKU,9,65,19,4100
NerimaKU,6,65,15,4100
NerimaKU,11,65,11,4100
NerimaKU,18,65,8,4100
NerimaKU,4,65,19,4000
NerimaKU,15,65,13,4000
NerimaKU,12,65,12,4000
NerimaKU,12,65,27,4000
ChuoKU,8,65,37,3900
NerimaKU,3,65,34,3900
NerimaKU,9,65,19,3900
NerimaKU,5,65,17,3900
NerimaKU,4,65,3,3900
NerimaKU,13,65,25,3900
NerimaKU,14,65,23,3900
Hachioji,8,65,2,3800
NerimaKU,2,65,34,3800
NerimaKU,14,65,22,3800
NerimaKU,5,65,20,3800
NerimaKU,10,65,19,3800
NerimaKU,12,65,19,3800
NerimaKU,3,65,30,3800
ChuoKU,4,65,39,3700
Hachioji,15,65,2,3700
NerimaKU,6,65,43,3700
NerimaKU,12,65,22,3700
NerimaKU,14,65,9,3700
NerimaKU,3,65,30,3700
NerimaKU,10,65,23,3700
Hachioji,15,65,2,3600
NerimaKU,9,65,8,3600
NerimaKU,16,65,25,3600
NerimaKU,13,65,24,3600
Hachioji,8,65,2,3500
Hachioji,8,65,2,3500
NerimaKU,4,65,45,3500
NerimaKU,1,65,33,3500
NerimaKU,8,65,20,3500
NerimaKU,7,65,19,3500
NerimaKU,20,65,19,3500
NerimaKU,3,65,16,3500
Hachioji,8,65,20,3400
Hachioji,8,65,2,3400
Hachioji,16,65,2,3400
NerimaKU,4,65,47,3400
